,Taxon, Habitat, Diet, Body Weight, BMR
67,Rousettus aegypticus, Arboreal, Fruit,146.0,0.84
68,Pteropus poliocephalus, Arboreal, Fruit,598.0,0.53
69,Pteropus scapulatus, Arboreal, Fruit,362.0,0.67
70,Dobsonia minor, Arboreal, Fruit,87.0,1.26
71,Cynopterus brachyotis, Arboreal, Fruit,37.0,1.27
85,Carollia perspecillata, Arboreal, Fruit,14.9,2.11
86,Rhinophylla pumilio, Arboreal, Fruit,9.5,1.71
87,Sturnira lilium, Arboreal, Fruit,21.0,1.79
88,Uroderma bilobatum, Arboreal, Fruit,16.2,1.64
89,Vampyrops Jineatus, Arboreal, Fruit,22.0,1.47
90,Artibeus concolor, Arboreal, Fruit,19.7,1.67
91,Artibeus jamaicensis, Arboreal, Fruit,45.0,1.25
92,Artibeus lituratus, Arboreal, Fruit,70.0,1.21
101,Perodicticus potto, Arboreal, Fruit,1000.0,0.36
104,Cebuella pygmaea, Arboreal, Fruit,105.0,0.94
106,Aotus trivirgatu, Arboreal, Fruit,991.0,0.45
107,Saimiri sciureus, Arboreal, Fruit,590.0,0.83
108,Macaca mulatta, Arboreal, Fruit,5380.0,0.37
109,Cercocebus torquatus, Arboreal, Fruit,4100.0,0.41
112,Pongo pygmaeus, Arboreal, Fruit,16200.0,0.3
120,Potos flavus, Arboreal, Fruit,2400.0,0.32
247,Cuniculus paca, Arboreal, Fruit,4507.0,0.44
253,Proechimys semispinosus, Arboreal, Fruit,498.0,0.63
