,Taxon	 Habitat	 Diet	 Body Weight	 BMR
0,Tachyglossus aculeatus	 Terrestrial	 Invertebrates	3410	0.17
1,Ornithorhynchus anatinus	 Aquatic	 Invertebrates	690	0.31
2,Marmosa microtarsus	 Arboreal	 Invertebrates	14.5	1.79
3,Didelphis marsupialis	 Terrestrial	 Omnivorous	1350	0.45
4,Planigale gilesi	 Terrestrial	 Invertebrates	9.4	1.4
5,Planigale ingrami	 Terrestrial	 Invertebrates	7.1	1.59
6,Planigale maculatus	 Terrestrial	 Invertebrates	8.5	1.26
7,Antechinus macdonnellensis	 Terrestrial	 Invertebrates	43.1	0.63
8,Antechinus stuartii	 Terrestrial	 Invertebrates	37	0.99
9,Phascogale tapoatafa	 Arboreal	 Invertebrates	157.2	0.81
10,Dasycercus cristicauda	 Terrestrial	 Vertebrates	88.8	0.52
11,Dasyurus geoffroii	 Terrestrial	 Invertebrates	1000	0.38
12,Dasyurus hallacatus	 Terrestrial	 Invertebrates	584.4	0.51
13,Dasyurus maculatus	 Terrestrial	 Vertebrates	2000	0.3
14,Dasyurus viverrinus	 Terrestrial	 Invertebrates	1100	0.45
15,Sarcophilus harrissi	 Terrestrial	 Vertebrates	6700	0.28
16,Dasyuroides byrnei	 Terrestrial	 Invertebrates	89	0.87
17,Sminthopis crassicaudata	 Terrestrial	 Invertebrates	14	1.34
18,Antechinomys spenceri	 Terrestrial	 Invertebrates	24.2	0.98
19,Macrotis lagotis	 Terrestrial	 Grass	940	0.36
20,Perameles nasuta	 Terrestrial	 Invertebrates	686	0.47
21,Isoodon macrourus	 Terrestrial	 Invertebrates	880	0.45
22,Trichosurus vulpecula	 Arboreal	 Leaves	1982	0.32
23,Cercartetus nanus	 Arboreal	 Omnivorous	70	0.86
24,Petaurus breviceps	 Arboreal	 Omnivorous	128	0.69
25,Pseudocheirus peregrinus	 Arboreal	 Leaves	860	0.33
26,Lagorchestes conspicillatus	 Terrestrial	 Grass	2700	0.32
27,Macropus eugenii	 Terrestrial	 Grass	4796	0.29
28,Macropus rufus	 Terrestrial	 Grass	32490	0.18
29,Dendrolagus matshiei	 Arboreal	 Leaves	6960	0.21
30,Phascolarctos cinereus	 Arboreal	 Leaves	4765	0.22
31,Myrmecophaga tridactyla	 Terrestrial	 Invertebrates	30600	0.09
32,Tamandua mexicana	 Terrestrial	 Invertebrates	3500	0.26
33,Tamandua tetradactyla	 Terrestrial	 Invertebrates	3500	0.25
34,Cyclopes didactylus	 Terrestrial	 Invertebrates	240	0.48
35,Bradypus variagatus	 Arboreal	 Leaves	3790	0.18
36,Choloepus hoffmanrii	 Arboreal	 Leaves	4250	0.19
37,Euphractus sexcinctus	 Terrestrial	 Invertebrates	8190	0.15
38,Zaedyus pichiy	 Terrestrial	 Invertebrates	1740	0.23
39,Priodontes maximus	 Terrestrial	 Invertebrates	45190	0.07
40,Cabassous centralis	 Terrestrial	 Invertebrates	3810	0.21
41,Tolypeutes matacus	 Terrestrial	 Invertebrates	1160	0.18
42,Dasypus novemcinctus	 Terrestrial	 Invertebrates	3320	0.24
43,Chaetophractus nationi	 Terrestrial	 Invertebrates	2150	0.26
44,Chaetophractus vellerosus	 Terrestrial	 Invertebrates	1110	0.28
45,Chaetophractus villosus	 Terrestrial	 Invertebrates	4540	0.18
46,Tenrec ecaudatus	 Aquatic	 Invertebrates	790	0.33
47,Setifer setosus	 Terrestrial	 Invertebrates	530	0.23
48,Amblysomus hottentotus	 Terrestrial	 Invertebrates	70	1.21
49,Erinaceus albiventris	 Terrestrial	 Invertebrates	450	0.33
50,Erinaceus europaeus	 Terrestrial	 Invertebrates	889	0.48
51,Hemiechinus auritus	 Terrestrial	 Invertebrates	400	0.38
52,Paraechinus aethiopus	 Terrestrial	 Invertebrates	450	0.25
53,Sorex araneus	 Terrestrial	 Invertebrates	8.9	9.08
54,Sorex caecutiens	 Terrestrial	 Invertebrates	4.9	11.67
55,Sorex cinereus	 Terrestrial	 Invertebrates	3	9
56,Sorex isodon	 Terrestrial	 Invertebrates	11.1	8.28
57,Sorex minutissimu	 Terrestrial	 Invertebrates	2.5	15.48
58,Sorex minutu	 Terrestrial	 Invertebrates	2.7	15
59,Neomys anomalus	 Terrestrial	 Invertebrates	13.4	4.98
60,Neomys fodiens	 Terrestrial	 Invertebrates	17.8	6.79
61,Blarina brevicauda	 Terrestrial	 Invertebrates	21	2.5
62,Notiosorex crawford	 Terrestrial	 Invertebrates	4	3.27
63,Crocidura russula	 Terrestrial	 Invertebrates	13.7	1.9
64,Scalopus aquaticus	 Terrestrial	 Invertebrates	48	1.41
65,Tupaia glis	 Arboreal	 Invertebrates	180	0.93
66,Urogale everetti	 Arboreal	 Invertebrates	252	0.86
67,Rousettus aegypticus	 Arboreal	 Fruit	146	0.84
68,Pteropus poliocephalus	 Arboreal	 Fruit	598	0.53
69,Pteropus scapulatus	 Arboreal	 Fruit	362	0.67
70,Dobsonia minor	 Arboreal	 Fruit	87	1.26
71,Cynopterus brachyotis	 Arboreal	 Fruit	37	1.27
72,Eonycteris spelaea	 Arboreal	 Pollen	52	0.93
73,Synconycteris australis	 Arboreal	 Pollen	17.5	1.93
74,Megaloglossus woermanni	 Arboreal	 Pollen	12.4	1.75
75,Macroderma gigas	 Arboreal	 Vertebrates	148	0.94
76,Noctilio leporinus	 Arboreal	 Vertebrates	61	1.16
77,Noctilio? labialis	 Arboreal		27	1.17
78,Tonatia bidens	 Arboreal	 Invertebrates	27.4	2.1
79,Phyllostomus discolor	 Arboreal	 Invertebrates	33.5	1.43
80,Phyllostomus hastatus	 Arboreal	 Invertebrates	84.2	1.19
81,Chrotopterus auritus	 Arboreal	 Vertebrates	96	1.06
82,Glossophaga soricina	 Arboreal	 Pollen	9.6	2.25
83,Leptonycteris sanborni	 Arboreal	 Pollen	22	2
84,Anoura caudifer	 Arboreal	 Pollen	11.5	3.05
85,Carollia perspecillata	 Arboreal	 Fruit	14.9	2.11
86,Rhinophylla pumilio	 Arboreal	 Fruit	9.5	1.71
87,Sturnira lilium	 Arboreal	 Fruit	21	1.79
88,Uroderma bilobatum	 Arboreal	 Fruit	16.2	1.64
89,Vampyrops Jineatus	 Arboreal	 Fruit	22	1.47
90,Artibeus concolor	 Arboreal	 Fruit	19.7	1.67
91,Artibeus jamaicensis	 Arboreal	 Fruit	45	1.25
92,Artibeus lituratus	 Arboreal	 Fruit	70	1.21
93,Desmodus rotundus	 Arboreal	 Blood	29	1.18
94,Diaemus youngi	 Arboreal	 Blood	366	1.02
95,Diphylla ecaudata	 Arboreal	 Blood	278	1.39
96,Eumops perotis	 Arboreal	 Invertebrates	56	0.71
97,Molossus molossus	 Arboreal	 Invertebrates	16	1.44
98,Histiotus velatus	 Arboreal	 Invertebrates	11.2	1.4
99,Lemur fulvus	 Arboreal	 Leaves	2419	0.32
100,Nycticebus coucang	 Terrestrial	 Invertebrates	1300	0.24
101,Perodicticus potto	 Arboreal	 Fruit	1000	0.36
102,Arctocebus calabarensis	 Arboreal	 Omnivorous	206	0.64
103,Euoticus elegantulus	 Arboreal	 Omnivorous	262	0.82
104,Cebuella pygmaea	 Arboreal	 Fruit	105	0.94
105,Saguinus geoffroyi	 Arboreal	 Omnivorous	225	1.04
106,Aotus trivirgatu	 Arboreal	 Fruit	991	0.45
107,Saimiri sciureus	 Arboreal	 Fruit	590	0.83
108,Macaca mulatta	 Arboreal	 Fruit	5380	0.37
109,Cercocebus torquatus	 Arboreal	 Fruit	4100	0.41
110,Papio anubis	 Terrestrial	 Omnivorous	9500	0.3
111,Papio papio	 Terrestrial	 Omnivorous	6230	0.41
112,Pongo pygmaeus	 Arboreal	 Fruit	16200	0.3
113,Pan troglodytes	 Arboreal	 Omnivorous	36900	0.26
114,Homo sapiens	 Terrestrial	 Omnivorous	70000	0.21
115,Alopex lagopus	 Terrestrial	 Vertebrates	6000	0.73
116,Vulpes vulpes	 Terrestrial	 Vertebrates	9000	0.55
117,Lycaon pictus	 Terrestrial	 Vertebrates	8750	0.67
118,Fennecus zerda	 Terrestrial	 Invertebrates	1106	0.36
119,Ursus americanus	 Terrestrial	 Omnivorous	77270	0.36
120,Potos flavus	 Arboreal	 Fruit	2400	0.32
121,Mustela erminea	 Terrestrial	 Vertebrates	227	1.88
122,Mustela frenata	 Terrestrial	 Vertebrates	297	0.95
123,Mustela nivalis	 Terrestrial	 Vertebrates	77	2.29
124,Mustela vison	 Terrestrial	 Vertebrates	660	0.74
125,Martes americanus	 Terrestrial	 Vertebrates	1038	0.66
126,Martes martes	 Terrestrial	 Vertebrates	920	0.8
127,Gulo gulo	 Terrestrial	 Vertebrates	12700	0.46
128,Meles meles	 Terrestrial	 Invertebrates	11050	0.27
129,Lutra lutra	 Aquatic	 Vertebrates	10000	0.45
130,Enhydra lutris	 Aquatic	 Vertebrates	18000	0.72
131,Nandinia binotata	 Arboreal	 Omnivorous	4270	0.27
132,Arctogalidia trivirgata	 Arboreal	 Omnivorous	2013	0.3
133,Paradoxurus hermaphroditus	 Arboreal	 Omnivorous	3410	0.21
134,Arctictis binturong	 Arboreal	 Omnivorous	14280	0.16
135,Herpestes auropunctatus	 Terrestrial	 Vertebrates	611	0.75
136,Proteles cristata	 Terrestrial	 Invertebrates	7710	0.25
137,Felis silvestris	 Terrestrial	 Vertebrates	3260	0.71
138,Acinonyx jubatus	 Terrestrial	 Vertebrates	39000	0.35
139,Phoca fasciata	 Aquatic	 Vertebrates	54000	0.39
140,Phoca vitulina	 Aquatic	 Vertebrates	27400	0.48
141,Pagophilus groenlandicus	 Aquatic	 Vertebrates	38600	0.38
142,Tursiops truncatus	 Aquatic	 Vertebrates	175000	0.34
143,Phocoena phocoena	 Aquatic	 Vertebrates	28500	0.68
144,Elephas maximus	 Terrestrial	 Leaves	2730000	0.15
145,Equus caballus	 Terrestrial	 Grass	260000	0.25
146,Dendrohyrax dorsalis	 Arboreal	 Leaves	2210	0.42
147,Heterohyrax brucei	 Terrestrial	 Leaves	1660	0.43
148,Procavia capensis	 Terrestrial	 Leaves	2630	0.41
149,Procavia habessinica	 Terrestrial	 Leaves	2250	0.41
150,Procavia johnstoni	 Terrestrial	 Leaves	2750	0.45
151,Orycteropus afer	 Terrestrial	 Invertebrates	48000	0.13
152,Sus scrofa	 Terrestrial	 Omnivorous	75000	0.11
153,Tayassu tajacu	 Terrestrial	 Grass	20200	0.29
154,Camelus dromedarius	 Terrestrial	 Grass	407000	0.1
155,Cervus elaphus	 Terrestrial	 Grass	58000	0.28
156,Rangifer tarandus	 Terrestrial	 Grass	94000	0.25
157,Odocoileus virginianus	 Terrestrial	 Grass	58590	0.45
158,Capreolus capreolus	 Terrestrial	 Grass	21500	0.4
159,Antilocapra americanus	 Terrestrial	 Grass	32000	0.28
160,Tragelaphus oryx	 Terrestrial	 Grass	150000	0.24
