,genus,hyb,species
11,Rosa,x,alpestris
14,Rosa,x,andegavensis
19,Rosa,x,atlantica
20,Rosa,x,avrayensis
27,Rosa,x,baxanensis
32,Rosa,x,belnensis
33,Rosa,x,bengyana
35,Rosa,x,bigeneris
36,Rosa,x,binaloudensis
37,Rosa,x,bishopii
38,Rosa,x,biturigensis
41,Rosa,x,bolanderi
53,Rosa,x,canadensis
58,Rosa,x,caviniacensis
59,Rosa,x,centifolia
64,Rosa,x,churchillii
65,Rosa,x,clinophylla
66,Rosa,x,consanguinea
69,Rosa,x,cottetii
74,Rosa,x,damascena
85,Rosa,x,dryadea
88,Rosa,x,dulcissima
89,Rosa,x,dumalis
90,Rosa,x,dumetorum
94,Rosa,x,engelmannii
99,Rosa,x,fernaldiorum
110,Rosa,x,gilmaniana
115,Rosa,x,glaucoides
120,Rosa,x,grovesii
122,Rosa,x,hainesii
123,Rosa,x,harmsiana
127,Rosa,x,henryana
130,Rosa,x,hibernica
133,Rosa,x,hodgdonii
134,Rosa,x,housei
135,Rosa,x,hyogoensis
140,Rosa,x,involuta
144,Rosa,x,iwara
154,Rosa,x,kotschyana
167,Rosa,x,longicolla
176,Rosa,x,makinoana
179,Rosa,x,margerisonii
181,Rosa,x,massiana
183,Rosa,x,medioccidentis
187,Rosa,x,mikawamontana
189,Rosa,x,misimensis
191,Rosa,x,molletorum
192,Rosa,x,molliformis
194,Rosa,x,momiyamae
204,Rosa,x,nitidula
205,Rosa,x,novae-angliae
208,Rosa,x,odorata
209,Rosa,x,oldhamii
210,Rosa,x,oligocarpa
218,Rosa,x,oxyodontoides
219,Rosa,x,ozcelikii
220,Rosa,x,palustriformis
223,Rosa,x,paulii
228,Rosa,x,pervirens
233,Rosa,x,piptocalyx
236,Rosa,x,polliniana
239,Rosa,x,praegeri
247,Rosa,x,pseudorusticana
250,Rosa,x,pulcherrima
252,Rosa,x,reversa
255,Rosa,x,rothschildii
256,Rosa,x,rouyana
262,Rosa,x,sabinii
263,Rosa,x,salaevensis
267,Rosa,x,scabriuscula
282,Rosa,x,spinulifolia
288,Rosa,x,suberecta
289,Rosa,x,suberectiformis
290,Rosa,x,subpomifera
298,Rosa,x,toddiae
311,Rosa,x,verticillacantha
312,Rosa,x,victoriana
315,Rosa,x,vituperabilis
316,Rosa,x,waitziana
317,Rosa,x,warleyensis
