,genus,hyb,species
0,Rosa,,abietina
1,Rosa,,abrica
2,Rosa,,abutalybovii
3,Rosa,,abyssinica
4,Rosa,,achburensis
5,Rosa,,acicularis
6,Rosa,,adenophylla
7,Rosa,,agrestis
8,Rosa,,alabukensis
9,Rosa,,alberti
10,Rosa,,alexeenkoi
12,Rosa,,altidaghestanica
13,Rosa,,amblyophylla
15,Rosa,,arabica
16,Rosa,,arensii
17,Rosa,,arkansana
18,Rosa,,arvensis
21,Rosa,,awarica
22,Rosa,,baiyushanensis
23,Rosa,,balcarica
24,Rosa,,balsamica
25,Rosa,,banksiae
26,Rosa,,banksiopsis
28,Rosa,,beauvaisii
29,Rosa,,beggeriana
30,Rosa,,bella
31,Rosa,,bellicosa
34,Rosa,,biebersteiniana
39,Rosa,,blanda
40,Rosa,,boissieri
42,Rosa,,bracteata
43,Rosa,,bridgesii
44,Rosa,,brotherorum
45,Rosa,,brunonii
46,Rosa,,bugensis
47,Rosa,,buschiana
48,Rosa,,caesia
49,Rosa,,calantha
50,Rosa,,calcarea
51,Rosa,,californica
52,Rosa,,calyptopoda
54,Rosa,,canina
55,Rosa,,carolina
56,Rosa,,caryophyllacea
57,Rosa,,caudata
60,Rosa,,chavinii
61,Rosa,,chengkouensis
62,Rosa,,chinensis
63,Rosa,,chionistrae
67,Rosa,,corymbifera
68,Rosa,,corymbulosa
70,Rosa,,coziae
71,Rosa,,cymosa
72,Rosa,,cziragensis
73,Rosa,,daishanensis
75,Rosa,,darginica
76,Rosa,,davidii
77,Rosa,,davurica
78,Rosa,,deqenensis
79,Rosa,,derongensis
80,Rosa,,deseglisei
81,Rosa,,diplodonta
82,Rosa,,dolichocarpa
83,Rosa,,doluchanovii
84,Rosa,,donetzica
86,Rosa,,dsharkenti
87,Rosa,,dubovikiae
91,Rosa,,duplicata
92,Rosa,,ecae
93,Rosa,,elymaitica
95,Rosa,,ermanica
96,Rosa,,facsarii
97,Rosa,,fargesiana
98,Rosa,,farreri
100,Rosa,,filipes
101,Rosa,,foetida
102,Rosa,,foliolosa
103,Rosa,,forrestiana
104,Rosa,,freitagii
105,Rosa,,fujisanensis
106,Rosa,,gadzhievii
107,Rosa,,gallica
108,Rosa,,galushkoi
109,Rosa,,gigantea
111,Rosa,,giraldii
112,Rosa,,glabrifolia
113,Rosa,,glandulososetosa
114,Rosa,,glauca
116,Rosa,,glomerata
117,Rosa,,gorenkensis
118,Rosa,,graciliflora
119,Rosa,,gracilipes
121,Rosa,,gymnocarpa
124,Rosa,,heckeliana
125,Rosa,,helenae
126,Rosa,,hemisphaerica
128,Rosa,,henryi
129,Rosa,,hezhangensis
131,Rosa,,hirtissima
132,Rosa,,hirtula
136,Rosa,,iberica
137,Rosa,,iliensis
138,Rosa,,iljinii
139,Rosa,,inodora
141,Rosa,,irinae
142,Rosa,,irysthonica
143,Rosa,,isaevii
145,Rosa,,jaroschenkoi
146,Rosa,,juzepczukiana
147,Rosa,,kamelinii
148,Rosa,,karaalmensis
149,Rosa,,kazarjanii
150,Rosa,,khasautensis
151,Rosa,,kokanica
152,Rosa,,kokijrimensis
153,Rosa,,koreana
155,Rosa,,kuhitangi
156,Rosa,,kujmanica
157,Rosa,,kunmingensis
158,Rosa,,kwangtungensis
159,Rosa,,kweichowensis
160,Rosa,,laevigata
161,Rosa,,langyashanica
162,Rosa,,lasiosepala
163,Rosa,,laxa
164,Rosa,,leschenaultiana
165,Rosa,,lichiangensis
166,Rosa,,livescens
168,Rosa,,longicuspis
169,Rosa,,longshoushanica
170,Rosa,,lucidissima
171,Rosa,,lucieae
172,Rosa,,ludingensis
173,Rosa,,macrophylla
174,Rosa,,mairei
